Operator Name,Operator Id,Plant State
Allegheny Electric Coop Inc,332,PA
Block Island Utility District,1857,RI
"South Carolina Genertg Co, Inc",17554,SC
"Duke Energy Carolinas, LLC",5416,SC
"Dominion Energy South Carolina, Inc",17539,SC
WestRock North Charleston,63284,SC
South Carolina Public Service Authority,17543,SC
Duke Energy Progress - (NC),3046,SC
"Duke Energy Florida, LLC",6455,SC
Otter Tail Power Co,14232,SD
"Black Hills Power, Inc. d/b/a",19545,SD
Basin Electric Power Coop,1307,SD
Tennessee Valley Authority,18642,TN
City of San Antonio - (TX),16604,TX
"Golden Spread Electric Cooperative, Inc",7349,TX
Lower Colorado River Authority,11269,TX
City of Denton - (TX),5063,TX
El Paso Electric Co,5701,TX
Public Service Co of Oklahoma,15474,TX
Southwestern Public Service Co,17718,TX
Southwestern Electric Power Co,17698,TX
Austin Energy,1015,TX
"Northeast Texas Elec Coop, Inc",13670,TX
"East Texas Electric Coop, Inc",39347,TX
Entergy Texas Inc.,55937,TX
Brazos Electric Power Coop Inc,2172,TX
"South Texas Electric Coop, Inc",17583,TX
"San Miguel Electric Coop, Inc",16624,TX
Deseret Generation & Tran Coop,40230,UT
Los Angeles Department of Water & Power,11208,UT
PacifiCorp,14354,UT
Utah Associated Mun Power Sys,40575,UT
Utah Municipal Power Agency,24431,UT
Dominion Renewable Energy,58468,VA
Virginia Electric & Power Co,19876,VA
Appalachian Power Co,733,VA
City of Martinsville - (VA),11770,VA
City of Burlington Electric - (VT),2548,VT
Green Mountain Power Corp,7601,VT
USACE Northwestern Division,19400,WA
City of Tacoma - (WA),18429,WA
PUD No 2 of Grant County,14624,WA
PUD No 1 of Douglas County,5326,WA
PUD No 1 of Chelan County,3413,WA
U S Bureau of Reclamation,2518,WA
City of Seattle - (WA),16868,WA
PacifiCorp,14354,WA
PUD No 1 of Clark County - (WA),3660,WA
PUD No 1 of Klickitat County,10393,WA
Energy Northwest,20160,WA
Puget Sound Energy Inc,15500,WA
PUD 1 of Snohomish County,17470,WA
Northern States Power Co - Minnesota,13781,WI
City of Kaukauna,10056,WI
Wisconsin Electric Power Co,20847,WI
Madison Gas & Electric Co,11479,WI
Dairyland Power Coop,4716,WI
Wisconsin Power & Light Co,20856,WI
Wisconsin Public Service Corp,20860,WI
Manitowoc Public Utilities,11571,WI
Allegheny Energy Supply Co LLC,23279,WV
"Duke Energy Florida, LLC",6455,WV
Monongahela Power Co,12796,WV
Kentucky Power Co,22053,WV
Virginia Electric & Power Co,19876,WV
Appalachian Power Co,733,WV
Basin Electric Power Coop,1307,WY
Black Hills Service Company LLC,56771,WY
PacifiCorp,14354,WY
