label,eiaid,name,utility,basicinformationcomments
539f6abbec4f024411ec9363,13144,Residential Rate,"City of Muscle Shoals, Alabama (Utility Company)",
539f6abbec4f024411ec9369,7626,Residential Rates - Outside city limits,"City of Greenfield, Iowa (Utility Company)",
539f6abbec4f024411ec93ab,2008,Residential Rates,"City of Boulder, Nevada (Utility Company)",
539f6abbec4f024411ec93b5,18397,Residential Electric - Multi Unit,"City of Sylvania, Georgia (Utility Company)",
539f6abcec4f024411ec93f1,14867,Residential Rate,"City of Petoskey, Michigan (Utility Company)",
539f6acbec4f024411ec93fb,13697,Residential Service Optional Time-of-Day Rg-2 Option B,North Central Power Co Inc,"This rate is subject to a Power Cost Adjustment Charge, which is determined by the amount of energy consumed during the previous month."
539f6acbec4f024411ec9407,19856,Residential,"City of Vineland, New Jersey (Utility Company)",
539f6acbec4f024411ec940d,3081,Residential Service Rate R-2,Carroll Electric Member Corp,
539f6accec4f024411ec941f,8083,Residential Outside City,"City of Harbor Springs, Michigan (Utility Company)",
539f6accec4f024411ec942f,1458,Residential Three Phase,"Beauregard Electric Coop, Inc",
539f6accec4f024411ec9449,11053,Residential Service - Rate Code 1,Linn County Rural E C A,
539f6accec4f024411ec944b,11118,"Schedule RA: Residential Service, All-Electric",Lockhart Power Co,
539f6accec4f024411ec9475,1208,Residential,"Town of Bargersville, Indiana (Utility Company)",
5cdad5115457a3d41440c5d1,56697,DS-1 Residential Zone 2,Ameren Illinois Company,
539f6acdec4f024411ec94a9,18383,Controlled Water Heater Rate,Taylor Electric Coop,
539f6adaec4f024411ec94d3,19125,Residential Rates,"City of Traverse City, Michigan (Utility Company)",
539f6adaec4f024411ec94d7,17865,Residential,"City of St Clairsville, Ohio (Utility Company)",
539f6adaec4f024411ec94e9,6155,Secure Energy Rate Plan (SERP),"Farmers Electric Company, Ltd",
539f6adbec4f024411ec94f1,17668,Residential (R - 12),"City of Southport, North Carolina (Utility Company)",
539f6adbec4f024411ec9507,20331,Residential (RC) Schedule,"City of Weimar, Texas (Utility Company)",
539f6adbec4f024411ec9549,3844,PP Residential,"Coastal Electric Coop, Inc",
539f6adbec4f024411ec9557,20841,Residential 1,"Wiregrass Electric Coop, Inc",
5cbf66995457a3ce3d67107e,14328,E-TOU Option A - Residential Time of Use Service Baseline Region X,Pacific Gas & Electric Co,
5cdad3e05457a3382740c5d1,56697,DS-1 Residential Zone 2,Ameren Illinois Company,
539f6adcec4f024411ec956f,1615,Classification #1 Residential Service,"Town of Berlin, Maryland (Utility Company)",
539f6ae9ec4f024411ec9585,14324,Residential & Farm Three Phase,Public Utility District No 2,
539f6ae9ec4f024411ec959f,17671,Single Phase Rural Service-Residential,Southwest Arkansas E C C,
539f6ae9ec4f024411ec95bd,16561,Residential Electric,"City of Sallisaw, Oklahoma (Utility Company)",
539f6ae9ec4f024411ec95bf,4433,Residential,"City of Covington, Georgia (Utility Company)",
539f6ae9ec4f024411ec95c3,4110,BESH- Residential Single Family Without Electric Space Heat Delivery Class(Unbundled),Commonwealth Edison Co,
539f6ae9ec4f024411ec95d3,26616,Residential,North Slope Borough Power & Light,Minimum charge for the 0-100kwh = $15.00
539f6aeaec4f024411ec9605,694,Residential,Anza Electric Coop Inc,
5cd0997a5457a3f93954e9d5,17718,Residential Service - Alternate Experiemential Time of Use,Southwestern Public Service Co (Texas),
539f6aeaec4f024411ec9611,9144,All Electric (AE),"Village of Hyde Park, Vermont (Utility Company)",
539f6aeaec4f024411ec961f,221,Residential Rate: Minto Village,"Alaska Village Elec Coop, Inc",
539f6aeaec4f024411ec9621,13027,Residential Rate,"Mountain Electric Coop, Inc",*Latest TVA is used in tiered adjustment column (May 2014).
539f6aeaec4f024411ec9631,17715,Residential Electric Space Heating & Central Cooling,Southwestern Electric Coop Inc (New Mexico),
539f6aeaec4f024411ec9635,10633,Net Metering Customer Generation Less Than 25 KW (Residential),"City of Lamar, Colorado (Utility Company)",
539f6aeaec4f024411ec9647,3844,Residential,"Coastal Electric Coop, Inc",
539f6af8ec4f024411ec965f,7679,RESIDENTIAL,"City of Griffin, Georgia (Utility Company)",
539f6af8ec4f024411ec9669,27599,EnviroWatts-General Service(power generated from renewable source),White County Rural E M C,
539f6af8ec4f024411ec966b,13963,Rg-2 Residential Service Optional Time-of-Day Three Phase 9am-9pm,Oconomowoc Utilities,
539f6af8ec4f024411ec966f,4147,RATE R-6 RESIDENTIAL SERVICE (NET METERING RATE) - 2kW and 4kW AC,"Town of Concord, Massachusetts (Utility Company)","Distribution charge of $3.60 per month of installed Generation Capacity equal or greater than 2kW but less than 4 kW AC is added to the monthly charge
Monthly charge = 8.05+3.60 = $11.65"
5cd097315457a3836554e9d4,17718,Residential Service with Electric Space Heating,Southwestern Public Service Co (Texas),
539f6af9ec4f024411ec96e3,20396,Rural Resident and Farm All-Electric,West Point Utility System,
539f6b06ec4f024411ec971b,11247,Residential Service,Louisville Electric System,
539f6b06ec4f024411ec971d,4110,BESH- Residential Single Family With Electric Space Heat Delivery Class(Unbundled),Commonwealth Edison Co,
539f6b07ec4f024411ec976b,221,Residential Rate: Quinhagak Village,"Alaska Village Elec Coop, Inc",
539f6b07ec4f024411ec9779,4110,BESH- Residential Multi Family With Electric Space Heat Delivery Class(Unbundled),Commonwealth Edison Co,
539f6b07ec4f024411ec9785,7480,Residential Inside,"City of Granbury, Texas (Utility Company)",
539f6b07ec4f024411ec978b,18102,Residential Seasonal(Niagara Hydro Plus Program Participant),"Steuben Rural Elec Coop, Inc",
539f6b07ec4f024411ec9797,20111,Residential Electric Service Rate Schedule,Warren County Rural E M C,
5cd096745457a33a7a54e9d5,17718,Residential Service,Southwestern Public Service Co (Texas),
55b7cd505457a3d467995e90,15159,Rg-2 Residential Service Optional Time-of-Day Three Phase 8am-8pm,"City of Plymouth, Wisconsin (Utility Company)",
539f6b08ec4f024411ec97c9,13815,Residential Seasonal Service Optional Time-of-Day Rg-2 Option B,Northwestern Wisconsin Elec Co,"This rate is subject to a Power Cost Adjustment Charge, which is determined by the amount of energy consumed during the previous month."
539f6b15ec4f024411ec9805,25251,Residential Energy Management time of use (single phase),"Entergy Power, Inc",
539f6b16ec4f024411ec980b,30517,All Electric Service-Three Phase,"Pioneer Electric Coop, Inc (Alabama)",
539f6b16ec4f024411ec9811,942,GS-Three Phase-Rate 03,Atchison-Holt Electric Coop (Iowa),
539f6b16ec4f024411ec9813,3093,Single Phase Service (under 100 kVA),Carroll Electric Coop Corp,
539f6b16ec4f024411ec9845,10966,REPS Rider- Residential,"City of Lexington, North Carolina (Utility Company)",
539f6b16ec4f024411ec9853,20380,Residential Customers,"City of West Liberty, Iowa (Utility Company)",
5cbf69645457a30817671083,14328,E-TOU Option B - Residential Time of Use Service (All Baseline Regions),Pacific Gas & Electric Co,
539f6b16ec4f024411ec9871,17035,Residential Electric Rate,"City of Shelbina, Missouri (Utility Company)",
539f6b17ec4f024411ec9877,1818,Low Income Senior/Disabled Service,"City of Blaine, Washington (Utility Company)",
539f6b17ec4f024411ec9879,17540,Residential,"South Central Ark El Coop, Inc",
539f6b25ec4f024411ec98ad,15086,Residential Service (Three-Phase) Rg-1,Pioneer Power and Light Co,Rates are subject to Power cost adjustment clause which varies monthly.
560c18e45457a3796cefa9fe,3296,RESIDENTIAL,"City of Centralia, Missouri (Utility Company)",
539f6b25ec4f024411ec98ef,19396,Residential Time-of-Day,Tri-County Electric Coop (Michigan),
539f6b25ec4f024411ec98f7,17141,Residential,"City of Sibley, Iowa (Utility Company)",
5cbf65c45457a3ce3d67107d,14328,E-TOU Option A - Residential Time of Use Service Baseline Region W,Pacific Gas & Electric Co,
539f6b25ec4f024411ec98ff,3086,RESIDENTIAL RATE SCHEDULE,Carroll County REMC,
5cbf63fb5457a34e4067107e,14328,E-TOU Option A - Residential Time of Use Service Baseline Region V,Pacific Gas & Electric Co,
539f6b26ec4f024411ec990d,2285,Residential Electrical Rate,"City of Brookings, South Dakota (Utility Company)",
5cbf63515457a3a91567107f,14328,E-TOU Option A - Residential Time of Use Service Baseline Region T,Pacific Gas & Electric Co,
5b16ad435457a39827ce813b,18304,Residential,"Sumter Electric Coop, Inc",
539f6b26ec4f024411ec995b,15982,Schedule R.S. (Residential Electric Service),"Town of Richlands, Virginia (Utility Company)",
539f6b33ec4f024411ec9973,2272,Residential SC.1,"Village of Brocton, New York (Utility Company)",
539f6b34ec4f024411ec99a5,3892,Residential Rural Domestic Service- Single Phase,"City of Coffeyville, Kansas (Utility Company)",
539f6b34ec4f024411ec99a9,18019,Energy Management - Dual Fuel Heating,Stearns Cooperative Elec Assn,
539f6b34ec4f024411ec99b1,3315,Rate Schedule B - Seasonal Residential and other,"Charles Mix Electric Assn, Inc",
539f6b34ec4f024411ec99b5,5015,Residential Rate,Delano Municipal Utilities,
539f6b34ec4f024411ec99c3,20835,RESIDENTIAL ELECTRIC RATES,"City of Winterset, Iowa (Utility Company)",
539f6b34ec4f024411ec99c5,3470,Residential,Cherokee County Elec Coop Assn,
539f6b34ec4f024411ec99cf,21533,Residential Electric Heat,"City of Minneapolis, Kansas (Utility Company)",
5cbf62b25457a3091767107e,14328,E-TOU Option A - Residential Time of Use Service Baseline Region S,Pacific Gas & Electric Co,
539f6b34ec4f024411ec99eb,17612,DM S Monthly Domestic Multi-Family Sub-Metered Seasonal,Bear Valley Electric Service,Daily charge= $0.21 per meter. Discount $0.044 per occupied space per meter. $0.166 *30 per month per meter
5668d6785457a3b075b1cdd7,19246,Residential,"City of Truth or Consequences, New Mexico (Utility Company)",
539f6b74ec4f024411ec9d43,13314,8 module photvoltaic,Navajo Tribal Utility Authority,
539f6b34ec4f024411ec9a01,18100,Schedule X-3 Uniform Single Phase,Steuben County Rural E M C,
539f6b34ec4f024411ec9a07,11364,General service three-phase,"Lyntegar Electric Coop, Inc",
539f6b35ec4f024411ec9a1f,5335,Rate R: Residential,"City of Dover, Delaware (Utility Company)",
5668ce5b5457a3b210b1cdda,1276,Single Phase (Residential & Commercial),"Barrow Utils & Elec Coop, Inc",
539f6b43ec4f024411ec9a5b,15132,Residential Service,"City of Plainview, Nebraska (Utility Company)",
539f6b43ec4f024411ec9a77,2641,Residential:SINGLE PHASE EARTH(COUPLED HEAT PUMP SERVICE EXPERIMENTAL),"Butler Rural El Coop Assn, Inc",
539f6b43ec4f024411ec9a83,3295,Residential - Outside City Limits Low Income Senior Citizen/Totally Disabled Discount,"City of Centralia, Washington (Utility Company)",
539f6b44ec4f024411ec9ad9,4147,RATE R-6 RESIDENTIAL SERVICE (NET METERING RATE)- Three Phase - 7kW and 10kW AC,"Town of Concord, Massachusetts (Utility Company)",Monthly charge ($34.35) = 24.15 (meter charge) + 10.20 (Distribution charge)
539f6b52ec4f024411ec9af7,19785,Urban Residential,Verdigris Valley Elec Coop Inc,
539f6b52ec4f024411ec9b0f,20811,Residential- Outside Corporate Limits,"Town of Windsor, North Carolina (Utility Company)",
539f6b52ec4f024411ec9b1b,10559,Residential Service,"City of La Crosse, Kansas (Utility Company)",Minimum charge = $12.00
539f6b53ec4f024411ec9b1d,20332,Residential Service,Wells Rural Electric Co,
5cbf620d5457a30817671081,14328,E-TOU Option A - Residential Time of Use Service Baseline Region R,Pacific Gas & Electric Co,
539f6b53ec4f024411ec9b31,13697,Residential Service Optional Time-of-Day Rg-2 Option A,North Central Power Co Inc,"This rate is subject to a Power Cost Adjustment Charge, which is determined by the amount of energy consumed during the previous month."
539f6b53ec4f024411ec9b47,219,Schedule No. A-1 Residential (Healy Lake),Alaska Power and Telephone Co,
55b10fb15457a3b67791234d,9690,Rg-2 Residential Service Optional Time-of-Day Three Phase 9am-9pm,Jefferson Utilities,
539f6b53ec4f024411ec9b7d,16873,Residential (EO),"City of Sebewaing, Michigan (Utility Company)",
5668938a5457a3b210b1cdd6,1417,Residential - Net Meter,"Beartooth Electric Coop, Inc",
539f6b54ec4f024411ec9b9d,7715,Time-of-Use Schedule (,"Town of Groton, Massachusetts (Utility Company)",
539f6b62ec4f024411ec9bdb,15432,Residential Rate,Prospect Corporation,
539f6b62ec4f024411ec9c07,14700,"Residential (per meter, per month)","Village of Penn Yan, New York (Utility Company)",
539f6b63ec4f024411ec9c4d,4061,Residential Rates,"City of Columbiana, Ohio (Utility Company)",
539f6b63ec4f024411ec9c61,21056,"Residential Consumers, Cottonwood Beach (RS-1)","City of Wymore, Nebraska (Utility Company)",
539f6b72ec4f024411ec9c95,13676,Residential and Small Commercial: Daily Service Availability - Single Phase,"North Arkansas Elec Coop, Inc",
565def545457a358293d4d86,21015,Residential,"City of Wrangell, Alaska (Utility Company)",
539f6b73ec4f024411ec9cb3,3405,Standard Residential Service (ER01 and ER02),"Village of Chatham, Illinois (Utility Company)",
539f6b73ec4f024411ec9cd9,19716,Fixed Load Rate EL-07,"City of Vanceburg, Kentucky (Utility Company)",
539f6b73ec4f024411ec9ce5,5862,Residential Time of Use: 3 Phase,"Empire Electric Assn, Inc",
5616c3815457a3945e35c494,3415,Residential Service w/ Electric Heat or Water Heating,"Village of Chelsea, Michigan (Utility Company)",
539f6b81ec4f024411ec9d65,7096,Residential,"City of Geneva, Illinois (Utility Company)",
539f6b81ec4f024411ec9d6d,1523,RESIDENTIAL LOW INCOME RATE LI,"Town of Belmont, Massachusetts (Utility Company)",
539f6b82ec4f024411ec9d83,1176,Residential- Outside City,"City of Bandon, Oregon (Utility Company)",
539f6b82ec4f024411ec9daf,10770,RESIDENTIAL SERVICE - Schedule AL-1 (Three Phase),"City of Laurinburg, North Carolina (Utility Company)",
5612be715457a3660435c494,3855,RESIDENTIAL RATE,Columbia Power System,Adjusted for TVA Fuel Cost Adjustment - June 2014
539f6b82ec4f024411ec9de9,3465,Residential Electricity Rate,Chitina Electric Inc,
539f6b83ec4f024411ec9e01,15386,Residential,"City of Princeton, Kentucky (Utility Company)",
565cf9355457a3bb6e3d4d86,14214,Residential,"City of Osborne, Kansas (Utility Company)",
539f6b90ec4f024411ec9e15,40497,Residential Rate- Lower Colorado Residence,Penoyer Valley Electric Coop,
539f6b90ec4f024411ec9e1b,7485,Rural Residential Rate 1,"City of Grant, Nebraska (Utility Company)",
539f6b91ec4f024411ec9e31,15231,Schedule R-03 Residential Service PAMC Section 13.20.070 Discount,"City of Port Angeles, Washington (Utility Company)",
539f6b91ec4f024411ec9e3f,11515,Residential- All- Electric,"Town of Maiden, North Carolina (Utility Company)",
539f6b91ec4f024411ec9e41,40433,Residential Service,"City of Enterprise, Utah (Utility Company)",
55c279df5457a3c80ee28f8b,965,Rural All- Electric Residential (Single Phase),Atlantic Municipal Utilities,Fixed monthly charge= weighted average of the customer charges
539f6b91ec4f024411ec9e83,40606,Residential Rate,"City of Grand Island, Nebraska (Utility Company)",
539f6b91ec4f024411ec9e87,13757,Three Phase General Service-Residential,North Plains Electric Coop Inc,
539f6b92ec4f024411ec9ead,1970,Residential,"Village of Boonville, New York (Utility Company)",
539f6b92ec4f024411ec9eb7,20455,R1 - Residential Electric,Western Massachusetts Elec Co,
539f6b92ec4f024411ec9ec9,8179,"Rate Schedule R-1, R-2 - Residential and Farm Service",Harrison County Rural E M C,
539f6b92ec4f024411ec9ecb,13685,Three Phase Service- Residential,"Niobrara Electric Assn, Inc",
539f6b92ec4f024411ec9ecd,11476,Residential Service,"Borough of Madison, New Jersey (Utility Company)",
539f6b92ec4f024411ec9ecf,2212,"Residential Service Three Phase (Rate Code 10, 410)","Broad River Electric Coop, Inc",
55b0087a5457a3d81f91234e,10605,Rg-2 Residential Service Optional Time-of-Day Single Phase 7am-7pm,Lake Mills Light & Water,
55898cfd5457a33b328b4567,20856,General Time-of-Day with Controlled Water Heating 14 Hour Peak Gw-1 [CLOSED Rate],Wisconsin Power & Light Co,The total hours of service to the customer's water heater will be 6 hours per day during the off-peak period.
539f6b9fec4f024411ec9f19,8764,Residential rates,"Holston Electric Coop, Inc",
